time,open,high,low,close,Volume,Volume MA
285863400,99.75,102.589996,98.900002,101.860001,NaN,NaN
286468200,101.860001,102.330002,99.010002,99.5,NaN,NaN
287073000,99.07,99.07,96.510002,97.870003,NaN,NaN
287677800,97.870003,99.639999,97.050003,98.669998,NaN,NaN
288282600,98.669998,100.07,97.290001,97.779999,NaN,NaN
288887400,97.779999,98.279999,95.379997,96.970001,NaN,NaN
289492200,97.029999,100.580002,97.029999,99.540001,NaN,NaN
290097000,99.540001,101.160004,98.559998,100.690002,NaN,NaN
290701800,100.690002,102.410004,99.870003,101.599998,NaN,NaN
291306600,101.599998,103.309998,100.599998,101.589996,NaN,NaN
291911400,101.559998,103.949997,100.139999,103.18,NaN,NaN
292516200,103.18,103.830002,101.510002,102,NaN,NaN
293121000,102,102.400002,100.459999,101.230003,NaN,NaN
293725800,101.230003,103.07,100.68,101.800003,NaN,NaN
294327000,101.800003,102.57,100.419998,100.690002,NaN,NaN
294931800,100.370003,100.370003,97.919998,98.519997,NaN,NaN
295536600,98.519997,100.730003,97.489998,99.93,NaN,NaN
296141400,99.93,101.309998,99.139999,100.220001,NaN,NaN
296746200,100.220001,100.760002,98.290001,99.169998,NaN,NaN
297351000,99.169998,102.540001,98.610001,101.489998,NaN,NaN
297955800,101.489998,103.639999,100.910004,102.089996,NaN,NaN
298560600,102.089996,103.160004,100.910004,102.639999,NaN,NaN
299165400,102.639999,103.669998,101.220001,102.910004,NaN,NaN
299770200,102.910004,103.910004,101.309998,103.620003,NaN,NaN
300375000,103.620003,105.169998,101.489998,102.32,NaN,NaN
300979800,102.32,103.199997,100.349998,101.82,NaN,NaN
301584600,101.82,103.629997,100.839996,103.099998,NaN,NaN
302189400,103.099998,105.019997,102.419998,104.040001,NaN,NaN
302794200,104.040001,106.839996,103.269997,106.400002,NaN,NaN
303399000,106.400002,109.18,106.279999,108.300003,NaN,NaN
304003800,108.300003,109.68,107.650002,108.599998,NaN,NaN
304608600,108.599998,109.839996,108.120003,109.32,NaN,NaN
305213400,109.32,109.410004,105.379997,107.660004,NaN,NaN
305818200,107.660004,109.480003,106.720001,108.760002,NaN,NaN
306423000,108.760002,111.580002,107.32,110.470001,NaN,NaN
307027800,110.470001,111.25,108.269997,109.32,NaN,NaN
307632600,109.190002,112.160004,107.699997,111.269997,NaN,NaN
308237400,111.269997,111.830002,102.309998,104.489998,NaN,NaN
308842200,104.489998,104.739998,101.239998,101.599998,NaN,NaN
309447000,101.379997,101.449997,99.059998,100.57,NaN,NaN
310055400,100.57,103.209999,100.129997,102.510002,NaN,NaN
310660200,102.510002,102.660004,99.419998,101.510002,NaN,NaN
311265000,101.510002,104.940002,101.269997,103.790001,NaN,NaN
311869800,103.790001,105.129997,102.040001,104.669998,NaN,NaN
312474600,104.830002,107.889999,104.830002,106.160004,NaN,NaN
313079400,106.160004,109.239998,105.07,107.519997,NaN,NaN
313684200,107.519997,109.489998,106.650002,108.919998,NaN,NaN
314289000,108.919998,110.330002,106.989998,107.589996,NaN,NaN
314893800,107.589996,108.610001,106.800003,107.839996,NaN,NaN
315498600,107.839996,108.529999,103.26,106.52,NaN,NaN
316103400,106.8,111.16,105.8,109.92,NaN,NaN
